,RouteLinkId,From,To,From_AtcoCode,From_LocalityName,From_Latitude,From_Longitude,To_AtcoCode,NaptanCode,To_LocalityName,To_Latitude,To_Longitude
29656,RL_40-41-_-y10-1-H-2-2,0180BAC30148,0180BAC30592,0180BAC30148,Oldfield Park,51.3752815862,-2.3687536995,0180BAC30592,bthjpad,Bath City Centre,51.3786537172,-2.3600303787
29657,RL_40-14-_-y10-1-R-1-12,0180BAC30150,0180BAA01322,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01322,bthmtwt,Bath City Centre,51.3778732894,-2.3594207898
29658,RL_40-14-_-y10-1-R-3-12,0180BAC30150,0180BAA01322,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01322,bthmtwt,Bath City Centre,51.3778732894,-2.3594207898
29659,RL_40-178-A-y10-1-R-1-43,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29660,RL_40-178-A-y10-1-R-2-31,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29661,RL_40-178-A-y10-1-R-6-57,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29662,RL_40-184-_-y10-1-R-1-77,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29663,RL_40-184-_-y10-1-R-3-68,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29664,RL_40-184-_-y10-1-R-4-65,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29665,RL_40-184-_-y10-1-R-5-43,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29666,RL_40-184-_-y10-1-R-6-36,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29667,RL_40-184-_-y10-1-R-7-31,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29668,RL_40-173-_-y10-1-H-1-66,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
29669,RL_40-379-_-y10-1-R-2-78,0180BAC30150,0180BAA01326,0180BAC30150,Oldfield Park,51.3772005567,-2.3647029611,0180BAA01326,bthmwam,Bath City Centre,51.3778558346,-2.3592482342
