,StopPointRef,CommonName_x,LocalityName_x,LocalityQualifier,AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName_y,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName_y,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
5668,0180BAC30688,Keynsham Cemetery,Keynsham,Bath & NE Somerset,0180BAC30688,bthamat,,,Keynsham Cemetery,en,,,,,Durley Hill,en,,,S-bound,en,S,E0054815,Keynsham,Bristol,,,,,,0,U,364522,169183,-2.5116112698,51.4205409658,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5669,0180BAC30688,Keynsham Cemetery,Keynsham,Bath & NE Somerset,0180BAC30688,bthamat,,,Keynsham Cemetery,en,,,,,Durley Hill,en,,,S-bound,en,S,E0054815,Keynsham,Bristol,,,,,,0,U,364522,169183,-2.5116112698,51.4205409658,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5670,0180BAC30688,Keynsham Cemetery,Keynsham,Bath & NE Somerset,0180BAC30688,bthamat,,,Keynsham Cemetery,en,,,,,Durley Hill,en,,,S-bound,en,S,E0054815,Keynsham,Bristol,,,,,,0,U,364522,169183,-2.5116112698,51.4205409658,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5671,0180BAC30688,Keynsham Cemetery,Keynsham,Bath & NE Somerset,0180BAC30688,bthamat,,,Keynsham Cemetery,en,,,,,Durley Hill,en,,,S-bound,en,S,E0054815,Keynsham,Bristol,,,,,,0,U,364522,169183,-2.5116112698,51.4205409658,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5672,0180BAC30688,Keynsham Cemetery,Keynsham,Bath & NE Somerset,0180BAC30688,bthamat,,,Keynsham Cemetery,en,,,,,Durley Hill,en,,,S-bound,en,S,E0054815,Keynsham,Bristol,,,,,,0,U,364522,169183,-2.5116112698,51.4205409658,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5673,0180BAC30688,Keynsham Cemetery,Keynsham,Bath & NE Somerset,0180BAC30688,bthamat,,,Keynsham Cemetery,en,,,,,Durley Hill,en,,,S-bound,en,S,E0054815,Keynsham,Bristol,,,,,,0,U,364522,169183,-2.5116112698,51.4205409658,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5674,0180BAC30688,Keynsham Cemetery,Keynsham,Bath & NE Somerset,0180BAC30688,bthamat,,,Keynsham Cemetery,en,,,,,Durley Hill,en,,,S-bound,en,S,E0054815,Keynsham,Bristol,,,,,,0,U,364522,169183,-2.5116112698,51.4205409658,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5675,0180BAC30688,Keynsham Cemetery,Keynsham,Bath & NE Somerset,0180BAC30688,bthamat,,,Keynsham Cemetery,en,,,,,Durley Hill,en,,,S-bound,en,S,E0054815,Keynsham,Bristol,,,,,,0,U,364522,169183,-2.5116112698,51.4205409658,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5676,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5677,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5678,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5679,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5680,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5681,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5682,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5683,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5684,0180BAC30691,Rugby Club,Keynsham,Bath & NE Somerset,0180BAC30691,bthampg,,,Rugby Club,en,,,,,Bristol Road,en,,,E-bound,en,E,E0054815,Keynsham,Bristol,,,,,,0,U,364923,168934,-2.5058197752,51.4183271118,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5685,0180BAC30698,Keynsham Church,Keynsham,Bath & NE Somerset,0180BAC30698,bthapam,,,Keynsham Church,en,,,,,High Street,en,,,SE-bound,en,SE,E0054815,Keynsham,Bristol,,,,,,0,U,365381,168818,-2.4992222265,51.4173123331,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5686,0180BAC30698,Keynsham Church,Keynsham,Bath & NE Somerset,0180BAC30698,bthapam,,,Keynsham Church,en,,,,,High Street,en,,,SE-bound,en,SE,E0054815,Keynsham,Bristol,,,,,,0,U,365381,168818,-2.4992222265,51.4173123331,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5687,0180BAC30698,Keynsham Church,Keynsham,Bath & NE Somerset,0180BAC30698,bthapam,,,Keynsham Church,en,,,,,High Street,en,,,SE-bound,en,SE,E0054815,Keynsham,Bristol,,,,,,0,U,365381,168818,-2.4992222265,51.4173123331,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5688,0180BAC30698,Keynsham Church,Keynsham,Bath & NE Somerset,0180BAC30698,bthapam,,,Keynsham Church,en,,,,,High Street,en,,,SE-bound,en,SE,E0054815,Keynsham,Bristol,,,,,,0,U,365381,168818,-2.4992222265,51.4173123331,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5689,0180BAC30698,Keynsham Church,Keynsham,Bath & NE Somerset,0180BAC30698,bthapam,,,Keynsham Church,en,,,,,High Street,en,,,SE-bound,en,SE,E0054815,Keynsham,Bristol,,,,,,0,U,365381,168818,-2.4992222265,51.4173123331,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5690,0180BAC30698,Keynsham Church,Keynsham,Bath & NE Somerset,0180BAC30698,bthapam,,,Keynsham Church,en,,,,,High Street,en,,,SE-bound,en,SE,E0054815,Keynsham,Bristol,,,,,,0,U,365381,168818,-2.4992222265,51.4173123331,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5691,0180BAC30698,Keynsham Church,Keynsham,Bath & NE Somerset,0180BAC30698,bthapam,,,Keynsham Church,en,,,,,High Street,en,,,SE-bound,en,SE,E0054815,Keynsham,Bristol,,,,,,0,U,365381,168818,-2.4992222265,51.4173123331,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
5692,0180BAC30698,Keynsham Church,Keynsham,Bath & NE Somerset,0180BAC30698,bthapam,,,Keynsham Church,en,,,,,High Street,en,,,SE-bound,en,SE,E0054815,Keynsham,Bristol,,,,,,0,U,365381,168818,-2.4992222265,51.4173123331,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:18,0,new,act
